symboling normalized-losses MAKE_ultra_luxury MAKE_luxury MAKE_US_low_clas MAKE_JAP MAKE_EU_high_class FUEL_diesel FUEL_gas ASPIRATION_stnd ASPIRATION_turbo num_of_doors BODY_hardtop BODY_wagon BODY_sedan BODY_hatch BODY_conv DRIVE_4wd DRIVE_fwd DRIVE_RWD wheel-base length width heigh curb-weight ENGINE_dohc ENGINE_ohc ENGINE_ohcf ENGINE_ohcv ENGINE_1 cylinders engine-size FUEL_SYS_1bbl FUEL_SYS_2bbl FUEL_SYS_idi FUEL_SYS_mfi FUEL_SYS_mpfi FUEL_SYS_spdi bore stroke compression-ratio horsepower peak-rpm city-mpg highway-mpg !PRICE
0 81 0 0 1 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 94.50 158.80 63.60 52.00 1909 0 1 0 0 0 4 90 0 1 0 0 0 0 3.03 3.11 9.60 70 5400 38 43 6575
1 118 0 0 1 0 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.80 1876 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.41 68 5500 37 41 5572
1 118 0 0 1 0 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.80 1876 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6377
1 118 0 0 1 0 0 0 1 0 1 2 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.80 2128 0 1 0 0 0 4 98 0 0 0 0 1 0 3.03 3.39 7.60 102 5500 24 30 7957
1 148 0 0 1 0 0 0 1 1 0 4 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.60 1967 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6229
1 148 0 0 1 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 93.70 157.30 63.80 50.60 1989 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6692
1 148 0 0 1 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 93.70 157.30 63.80 50.60 1989 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 7609
1 148 0 0 1 0 0 0 1 0 1 4 0 0 1 0 0 0 1 0 93.70 157.30 63.80 50.60 2191 0 1 0 0 0 4 98 0 0 0 0 1 0 3.03 3.39 7.60 102 5500 24 30 8558
-1 110 0 0 1 0 0 0 1 1 0 4 0 1 0 0 0 0 1 0 103.30 174.60 64.60 59.80 2535 0 1 0 0 0 4 122 0 1 0 0 0 0 3.34 3.46 8.50 88 5000 24 30 8921
3 145 0 0 1 0 0 0 1 0 1 2 0 0 0 1 0 0 1 0 95.90 173.20 66.30 50.20 2811 0 1 0 0 0 4 156 0 0 0 1 0 0 3.60 3.90 7.00 145 5000 19 24 12964
2 137 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 86.60 144.60 63.90 50.80 1713 0 1 0 0 0 4 92 1 0 0 0 0 0 2.91 3.41 9.60 58 4800 49 54 6479
2 137 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 86.60 144.60 63.90 50.80 1819 0 1 0 0 0 4 92 1 0 0 0 0 0 2.91 3.41 9.20 76 6000 31 38 6855
1 101 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 150.00 64.00 52.60 1837 0 1 0 0 0 4 79 1 0 0 0 0 0 2.91 3.07 10.10 60 5500 38 42 5399
1 101 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 150.00 64.00 52.60 1940 0 1 0 0 0 4 92 1 0 0 0 0 0 2.91 3.41 9.20 76 6000 30 34 6529
1 101 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 150.00 64.00 52.60 1956 0 1 0 0 0 4 92 1 0 0 0 0 0 2.91 3.41 9.20 76 6000 30 34 7129
0 110 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.50 163.40 64.00 54.50 2010 0 1 0 0 0 4 92 1 0 0 0 0 0 2.91 3.41 9.20 76 6000 30 34 7295
0 78 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 96.50 157.10 63.90 58.30 2024 0 1 0 0 0 4 92 1 0 0 0 0 0 2.92 3.41 9.20 76 6000 30 34 7295
0 106 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 96.50 167.50 65.20 53.30 2236 0 1 0 0 0 4 110 1 0 0 0 0 0 3.15 3.58 9.00 86 5800 27 33 7895
0 106 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 96.50 167.50 65.20 53.30 2289 0 1 0 0 0 4 110 1 0 0 0 0 0 3.15 3.58 9.00 86 5800 27 33 9095
0 85 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.50 175.40 65.20 54.10 2304 0 1 0 0 0 4 110 1 0 0 0 0 0 3.15 3.58 9.00 86 5800 27 33 8845
0 85 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.50 175.40 62.50 54.10 2372 0 1 0 0 0 4 110 1 0 0 0 0 0 3.15 3.58 9.00 86 5800 27 33 10295
0 85 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.50 175.40 65.20 54.10 2465 0 1 0 0 0 4 110 0 0 0 0 1 0 3.15 3.58 9.00 101 5800 24 28 12945
1 107 0 0 0 1 0 0 1 1 0 2 0 0 1 0 0 0 1 0 96.50 169.10 66.00 51.00 2293 0 1 0 0 0 4 110 0 1 0 0 0 0 3.15 3.58 9.10 100 5500 25 31 10345
0 145 1 0 0 0 0 0 1 1 0 4 0 0 1 0 0 0 0 1 113.00 199.60 69.60 52.80 4066 1 0 0 0 0 6 258 0 0 0 0 1 0 3.63 4.17 8.10 176 4750 15 19 32250
1 104 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.10 159.10 64.20 54.10 1890 0 1 0 0 0 4 91 0 1 0 0 0 0 3.03 3.15 9.00 68 5000 30 31 5195
1 104 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.10 159.10 64.20 54.10 1900 0 1 0 0 0 4 91 0 1 0 0 0 0 3.03 3.15 9.00 68 5000 31 38 6095
1 104 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.10 159.10 64.20 54.10 1905 0 1 0 0 0 4 91 0 1 0 0 0 0 3.03 3.15 9.00 68 5000 31 38 6795
1 113 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 93.10 166.80 64.20 54.10 1945 0 1 0 0 0 4 91 0 1 0 0 0 0 3.03 3.15 9.00 68 5000 31 38 6695
1 113 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 93.10 166.80 64.20 54.10 1950 0 1 0 0 0 4 91 0 1 0 0 0 0 3.08 3.15 9.00 68 5000 31 38 7395
1 129 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 98.80 177.80 66.50 53.70 2385 0 1 0 0 0 4 122 0 1 0 0 0 0 3.39 3.39 8.60 84 4800 26 32 8845
0 115 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 98.80 177.80 66.50 55.50 2410 0 1 0 0 0 4 122 0 1 0 0 0 0 3.39 3.39 8.60 84 4800 26 32 8495
1 129 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 98.80 177.80 66.50 53.70 2385 0 1 0 0 0 4 122 0 1 0 0 0 0 3.39 3.39 8.60 84 4800 26 32 10595
0 115 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 98.80 177.80 66.50 55.50 2410 0 1 0 0 0 4 122 0 1 0 0 0 0 3.39 3.39 8.60 84 4800 26 32 10245
0 115 0 0 0 1 0 0 1 1 0 4 0 0 0 1 0 0 1 0 98.80 177.80 66.50 55.50 2425 0 1 0 0 0 4 122 0 1 0 0 0 0 3.39 3.39 8.60 84 4800 26 32 11245
0 118 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 0 1 104.90 175.00 66.10 54.40 2670 0 1 0 0 0 4 140 0 0 0 0 1 0 3.76 3.16 8.00 120 5000 19 27 18280
-1 93 0 1 0 0 0 1 0 0 1 4 0 0 1 0 0 0 0 1 110.00 190.90 70.30 56.50 3515 0 1 0 0 0 5 183 0 0 1 0 0 0 3.58 3.64 21.50 123 4350 22 25 25552
-1 93 0 1 0 0 0 1 0 0 1 4 0 1 0 0 0 0 0 1 110.00 190.90 70.30 58.70 3750 0 1 0 0 0 5 183 0 0 1 0 0 0 3.58 3.64 21.50 123 4350 22 25 28248
0 93 0 1 0 0 0 1 0 0 1 2 1 0 0 0 0 0 0 1 106.70 187.50 70.30 54.90 3495 0 1 0 0 0 5 183 0 0 1 0 0 0 3.58 3.64 21.50 123 4350 22 25 28176
-1 93 0 1 0 0 0 1 0 0 1 4 0 0 1 0 0 0 0 1 115.60 202.60 71.70 56.30 3770 0 1 0 0 0 5 183 0 0 1 0 0 0 3.58 3.64 21.50 123 4350 22 25 31600
3 142 0 1 0 0 0 0 1 1 0 2 0 0 0 0 1 0 0 1 96.60 180.30 70.50 50.80 3685 0 0 0 1 0 8 234 0 0 0 0 1 0 3.46 3.10 8.30 155 4750 16 18 35056
2 161 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.30 64.40 50.80 1918 0 1 0 0 0 4 92 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 37 41 5389
2 161 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.30 64.40 50.80 1944 0 1 0 0 0 4 92 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6189
2 161 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.30 64.40 50.80 2004 0 1 0 0 0 4 92 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6669
1 161 0 0 0 1 0 0 1 0 1 2 0 0 0 1 0 0 1 0 93 157.30 63.80 50.80 2145 0 1 0 0 0 4 98 0 0 0 0 0 1 3.03 3.39 7.60 102 5500 24 30 7689
3 153 0 0 0 1 0 0 1 0 1 2 0 0 0 1 0 0 1 0 96.30 173.00 65.40 49.40 2370 0 1 0 0 0 4 110 0 0 0 0 0 1 3.17 3.46 7.50 116 5500 23 30 9959
3 153 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 96.30 173.00 65.40 49.40 2328 0 1 0 0 0 4 122 0 1 0 0 0 0 3.35 3.46 8.50 88 5000 25 32 8499
1 125 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.30 172.40 65.40 51.60 2365 0 1 0 0 0 4 122 0 1 0 0 0 0 3.35 3.46 8.50 88 5000 25 32 6989
1 125 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.30 172.40 65.40 51.60 2405 0 1 0 0 0 4 122 0 1 0 0 0 0 3.35 3.46 8.50 88 5000 25 32 8189
1 125 0 0 0 1 0 0 1 0 1 4 0 0 1 0 0 0 1 0 96.30 172.40 65.40 51.60 2403 0 1 0 0 0 4 110 0 0 0 0 0 1 3.17 3.46 7.50 116 5500 23 30 9279
-1 137 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 96.30 172.40 65.40 51.60 2403 0 1 0 0 0 4 110 0 0 0 0 0 1 3.17 3.46 7.50 116 5500 23 30 9279
1 128 0 0 0 1 0 0 1 1 0 2 0 0 1 0 0 0 1 0 94.50 165.30 63.80 54.50 1889 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 5499
1 128 0 0 0 1 0 1 0 1 0 2 0 0 1 0 0 0 1 0 94.50 165.30 63.80 54.50 2017 0 1 0 0 0 4 103 0 0 1 0 0 0 2.99 3.47 21.90 55 4800 45 50 7099
1 128 0 0 0 1 0 0 1 1 0 2 0 0 1 0 0 0 1 0 94.50 165.30 63.80 54.50 1918 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 6649
1 122 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 94.50 165.30 63.80 54.50 1938 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 6849
1 103 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 94.50 170.20 63.80 53.50 2024 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 7349
1 128 0 0 0 1 0 0 1 1 0 2 0 0 1 0 0 0 1 0 94.50 165.30 63.80 54.50 1951 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 7299
1 128 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 94.50 165.60 63.80 53.30 2028 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 7799
1 122 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 94.50 165.30 63.80 54.50 1971 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 7499
1 103 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 94.50 170.20 63.80 53.50 2037 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 7999
2 168 0 0 0 1 0 0 1 1 0 2 1 0 0 0 0 0 1 0 95.10 162.40 63.80 53.30 2008 0 1 0 0 0 4 97 0 1 0 0 0 0 3.15 3.29 9.40 69 5200 31 37 8249
0 106 0 0 0 1 0 0 1 1 0 4 0 0 0 1 0 0 1 0 97.20 173.40 65.20 54.70 2324 0 1 0 0 0 4 120 0 1 0 0 0 0 3.33 3.47 8.50 97 5200 27 34 8949
0 106 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 97.20 173.40 65.20 54.70 2302 0 1 0 0 0 4 120 0 1 0 0 0 0 3.33 3.47 8.50 97 5200 27 34 9549
0 128 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 100.40 181.70 66.50 55.10 3095 0 0 0 1 0 6 181 0 0 0 0 1 0 3.43 3.27 9.00 152 5200 17 22 13499
0 108 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 100.40 184.60 66.50 56.10 3296 0 0 0 1 0 6 181 0 0 0 0 1 0 3.43 3.27 9.00 152 5200 17 22 14399
0 108 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 100.40 184.60 66.50 55.10 3060 0 0 0 1 0 6 181 0 0 0 0 1 0 3.43 3.27 9.00 152 5200 19 25 13499
3 194 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 0 1 91.30 170.70 67.90 49.70 3071 0 0 0 1 0 6 181 0 0 0 0 1 0 3.43 3.27 9.00 160 5200 19 25 17199
3 194 0 0 0 1 0 0 1 0 1 2 0 0 0 1 0 0 0 1 91.30 170.70 67.90 49.70 3139 0 0 0 1 0 6 181 0 0 0 0 1 0 3.43 3.27 7.80 200 5200 17 23 19699
1 231 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 0 1 99.20 178.50 67.90 49.70 3139 0 0 0 1 0 6 181 0 0 0 0 1 0 3.43 3.27 9.00 160 5200 19 25 18399
0 161 0 0 0 0 1 0 1 1 0 4 0 0 1 0 0 0 0 1 107.90 186.70 68.40 56.70 3020 0 0 0 0 1 4 120 0 0 0 0 1 0 3.46 3.19 8.40 97 5000 19 24 11900
0 161 0 0 0 0 1 1 0 0 1 4 0 0 1 0 0 0 0 1 107.90 186.70 68.40 56.70 3197 0 0 0 0 1 4 152 0 0 1 0 0 0 3.70 3.52 21.00 95 4150 28 33 13200
0 161 0 0 0 0 1 0 1 1 0 4 0 0 1 0 0 0 0 1 107.90 186.70 68.40 56.70 3075 0 0 0 0 1 4 120 0 0 0 0 1 0 3.46 2.19 8.40 95 5000 19 24 15580
0 161 0 0 0 0 1 1 0 0 1 4 0 0 1 0 0 0 0 1 107.90 186.70 68.40 56.70 3252 0 0 0 0 1 4 152 0 0 1 0 0 0 3.70 3.52 21.00 95 4150 28 33 16900
0 161 0 0 0 0 1 0 1 1 0 4 0 0 1 0 0 0 0 1 107.90 186.70 68.40 56.70 3075 0 0 0 0 1 4 120 0 0 0 0 1 0 3.46 3.19 8.40 97 5000 19 24 16630
0 161 0 0 0 0 1 1 0 0 1 4 0 0 1 0 0 0 0 1 107.90 186.70 68.40 56.70 3252 0 0 0 0 1 4 152 0 0 1 0 0 0 3.70 3.52 21.00 95 4150 28 33 17950
0 161 0 0 0 0 1 0 1 0 1 4 0 0 1 0 0 0 0 1 108.00 186.70 68.30 56.00 3130 0 0 0 0 1 4 134 0 0 0 0 1 0 3.61 3.21 7.00 142 5600 18 24 18150
1 119 0 0 1 0 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.80 1918 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 37 41 5572
1 119 0 0 1 0 0 0 1 0 1 2 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.80 2128 0 1 0 0 0 4 98 0 0 0 0 0 1 3.03 3.39 7.60 102 5500 24 30 7957
1 154 0 0 1 0 0 0 1 1 0 4 0 0 0 1 0 0 1 0 93.70 157.30 63.80 50.60 1967 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6229
1 154 0 0 1 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 93.70 167.30 63.80 50.80 1989 0 1 0 0 0 4 90 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 6692
1 154 0 0 1 0 0 0 1 1 0 4 0 0 1 0 0 0 1 0 93.70 167.30 63.80 50.80 2191 0 1 0 0 0 4 98 0 1 0 0 0 0 2.97 3.23 9.40 68 5500 31 38 7609
-1 74 0 0 1 0 0 0 1 1 0 4 0 1 0 0 0 0 1 0 103.30 174.60 64.60 59.80 2535 0 1 0 0 0 4 122 0 1 0 0 0 0 3.35 3.46 8.50 88 5000 24 30 8921
3 186 1 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 1 94.50 168.90 68.30 50.20 2778 0 1 0 0 0 4 151 0 0 0 0 1 0 3.94 3.11 9.50 143 5500 19 27 22018
3 150 0 0 0 0 1 0 1 1 0 2 0 0 0 1 0 0 1 0 99.10 186.60 66.50 56.10 2658 0 1 0 0 0 4 121 0 0 0 0 1 0 3.54 3.07 9.31 110 5250 21 28 11850
2 104 0 0 0 0 1 0 1 1 0 4 0 0 1 0 0 0 1 0 99.10 186.60 66.50 56.10 2695 0 1 0 0 0 4 121 0 0 0 0 1 0 3.54 3.07 9.30 110 5250 21 28 12170
3 150 0 0 0 0 1 0 1 1 0 2 0 0 0 1 0 0 1 0 99.10 186.60 66.50 56.10 2707 0 1 0 0 0 4 121 0 0 0 0 1 0 2.54 2.07 9.30 110 5250 21 28 15040
2 104 0 0 0 0 1 0 1 1 0 4 0 0 1 0 0 0 1 0 99.10 186.60 66.50 56.10 2758 0 1 0 0 0 4 121 0 0 0 0 1 0 3.54 3.07 9.30 110 5250 21 28 15510
3 150 0 0 0 0 1 0 1 0 1 2 0 0 0 1 0 0 1 0 99.10 186.60 66.50 56.10 2808 1 0 0 0 0 4 121 0 0 0 0 1 0 3.54 3.07 9.00 160 5500 19 26 18150
2 104 0 0 0 0 1 0 1 0 1 4 0 0 1 0 0 0 1 0 99.10 186.60 66.50 56.10 2847 1 0 0 0 0 4 121 0 0 0 0 1 0 3.54 3.07 9.00 160 5500 19 26 18620
2 83 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 156.90 63.40 53.70 2050 0 0 1 0 0 4 97 0 1 0 0 0 0 3.62 2.36 9.00 69 4900 31 36 5118
2 83 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 93.70 157.90 63.60 53.70 2120 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 8.70 73 4400 26 31 7053
2 83 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 1 0 0 93.30 157.30 63.80 55.70 2240 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 8.70 73 4400 26 31 7603
0 102 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 97.20 172.00 65.40 52.50 2145 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 9.50 82 4800 32 37 7126
0 102 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 97.20 172.00 65.40 52.50 2190 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 9.50 82 4400 28 33 7775
0 102 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 97.20 172.00 65.40 52.50 2340 0 0 1 0 0 4 108 0 0 0 0 1 0 3.62 2.64 9.00 94 5200 26 32 9960
0 102 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 1 0 0 97.00 172.00 65.40 54.30 2385 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 9.00 82 4800 24 25 9233
0 102 0 0 0 1 0 0 1 0 1 4 0 0 1 0 0 1 0 0 97.00 172.00 65.40 54.30 2510 0 0 1 0 0 4 108 0 0 0 0 1 0 3.62 2.64 7.70 111 4800 24 29 11259
0 89 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 97.00 173.50 65.40 53.00 2290 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 9.00 82 4800 28 32 7463
0 89 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 97.00 173.50 65.40 53.00 2455 0 0 1 0 0 4 108 0 0 0 0 1 0 3.62 2.64 9.00 94 5200 25 31 10198
0 85 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 1 0 0 96.90 173.60 65.40 54.90 2420 0 0 1 0 0 4 108 0 1 0 0 0 0 3.62 2.64 9.00 82 4800 23 29 8013
0 85 0 0 0 1 0 0 1 0 1 4 0 1 0 0 0 1 0 0 96.90 173.60 65.40 54.90 2650 0 0 1 0 0 4 108 0 0 0 0 1 0 3.62 2.64 7.70 111 4800 23 23 11694
1 87 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 95.70 158.70 63.60 54.50 1985 0 1 0 0 0 4 92 0 1 0 0 0 0 3.05 3.03 9.00 62 4800 35 39 5348
1 87 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 1 0 95.70 158.70 63.60 54.50 2040 0 1 0 0 0 4 92 0 1 0 0 0 0 3.05 3.03 9.00 62 4800 31 38 6338
1 74 0 0 0 1 0 0 1 1 0 4 0 0 0 1 0 0 1 0 95.70 158.70 63.60 54.50 2015 0 1 0 0 0 4 92 0 1 0 0 0 0 3.05 3.03 9.00 62 4800 31 38 6488
0 77 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 0 1 0 95.70 169.70 63.60 59.10 2280 0 1 0 0 0 4 92 0 1 0 0 0 0 3.05 3.03 9.00 62 4800 31 37 6918
0 81 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 1 0 0 95.70 169.70 63.60 59.10 2290 0 1 0 0 0 4 92 0 1 0 0 0 0 3.05 3.03 9.00 62 4800 27 32 7898
0 91 0 0 0 1 0 0 1 1 0 4 0 1 0 0 0 1 0 0 95.70 169.70 63.60 59.10 3110 0 1 0 0 0 4 92 0 1 0 0 0 0 3.05 3.03 9.00 62 4800 27 32 8778
0 91 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 95.70 166.30 64.40 53.00 2081 0 1 0 0 0 4 98 0 1 0 0 0 0 3.19 3.03 9.00 70 4800 30 37 6938
0 91 0 0 0 1 0 0 1 1 0 4 0 0 0 1 0 0 1 0 95.70 166.30 64.40 52.80 2109 0 1 0 0 0 4 98 0 1 0 0 0 0 3.19 3.03 9.00 70 4800 30 37 7198
0 91 0 0 0 1 0 1 0 1 0 4 0 0 1 0 0 0 1 0 95.70 166.30 64.40 53.00 2275 0 1 0 0 0 4 110 0 0 1 0 0 0 3.27 3.35 22.50 56 4500 34 36 7898
0 91 0 0 0 1 0 1 0 1 0 4 0 0 0 1 0 0 1 0 95.70 166.30 64.40 52.80 2275 0 1 0 0 0 4 110 0 0 1 0 0 0 3.27 3.35 22.50 56 4500 38 47 7788
0 91 0 0 0 1 0 0 1 1 0 4 0 0 1 0 0 0 1 0 95.70 166.30 64.40 53.00 2094 0 1 0 0 0 4 98 0 1 0 0 0 0 3.19 3.03 9.00 70 4800 38 47 7738
0 91 0 0 0 1 0 0 1 1 0 4 0 0 0 1 0 0 1 0 95.70 166.30 64.40 52.80 2122 0 1 0 0 0 4 98 0 1 0 0 0 0 3.19 3.03 9.00 70 4800 28 34 8358
